100 1ST AVE	VERIFY: MINOR_FD_1 | MULGA_FD_1	415|498
100 1ST AVE N	2101	469
100 1ST AVE S	VERIFY: 0210 | 1006	465|469
100 1ST ST	MINOR_FD_1	415
100 1ST ST E	WARRIOR_FD	437
100 1ST ST S	BIRMINGHAM_FD	469
100 1ST ST SW	2106	469
100 20TH AVE NE	CPFD_2	436
100 20TH AVE NW	CPFD_1	436
100 20TH ST	0201	469
100 20TH ST S	IRONDALE_FD	447
100 21ST AVE NE	CPFD_2	436
100 21ST AVE NW	CPFD_1	436
100 22ND AVE NE	CPFD_2	436
100 22ND AVE W	1409	417
100 22ND CT S	0707	469
100 23RD AVE NE	CPFD_2	436
100 23RD ST S	0201	469
100 23RD TER NW	CPFD_1	436
100 24TH AVE NW	CPFD_1	436
100 24TH AVE S	0707	469
100 24TH CT NW	CPFD_1	436
100 24TH ST S	VERIFY: 0201 | BESSEMER_FD	469|490
100 25TH AVE NE	CPFD_2	446
100 25TH ST S	0201	469
100 26TH AVE NW	CPFD_1	446
100 2ND AVE N	2101	469
100 2ND AVE NW	GRAYSVILLE FD	425
100 2ND AVE S	0210	469
100 2ND ST	MINOR_FD_1	415
100 2ND ST N	2101	469
100 2ND ST W	WARRIOR_FD	420
100 30TH ST	0607	469
100 32ND ST N	VERIFY - NO QUAD MATCH (Bessemer)	490
100 32ND ST N JOINT	VERIFY - NO QUAD MATCH (Bessemer)	490
100 34TH ST	1603	415
100 37TH AVE NE	CPFD_2	446
100 39TH AVE W	VERIFY - NO QUAD MATCH (Birmingham)	417
100 39TH ST N	1001	465
100 39TH ST S	1006	465
100 3RD AVE	CPFD_11 BIRM	435
100 3RD AVE N	2101	469
100 3RD AVE SW	2106	469
100 3RD PL S	0210	469
100 3RD ST	MINOR_FD_1	415
100 3RD ST E	WARRIOR_FD	437
100 3RD ST S	0210	469
100 40TH CT W	1304	417
100 40TH ST N	1001	465
100 40TH ST S	1006	465
100 49TH ST N	1211	465
100 4TH AVE	PLEASANT_GROVE_FD	492
100 4TH AVE N	2101	469
100 4TH AVE S	0210	469
100 4TH CT N	2101	469
100 4TH ST	MINOR_FD_1	415
100 56TH ST	FAIRFIELD_FD	494
100 57TH ST	FAIRFIELD_FD	494
100 57TH ST S	1204	465
100 58TH ST	FAIRFIELD_FD	494
100 59TH ST S	1204	465
100 5TH PL	PLEASANT_GROVE_FD	492
100 5TH ST	VERIFY: 1805 | MINOR_FD_1	415
100 5TH ST E	WARRIOR_FD	437
100 5TH WAY	PLEASANT_GROVE_FD	492
100 60TH ST	FAIRFIELD_FD	494
100 60TH ST S	1204	465
100 61ST ST	FAIRFIELD_FD	493
100 61ST ST S	1204	465
100 62ND ST	FAIRFIELD_FD	493
100 65TH ST N	1206	447
100 6TH AVE SW	2106	469
100 6TH ST	MINOR_FD_1	415|435
100 71ST ST S	1210	447
100 72ND ST S	1902	447
100 76TH ST S	1909	447
100 7TH AVE S	0708	469
100 7TH ST	CPFD_11 BIRM	435
100 7TH ST S	BESSEMER_FD	487
100 80TH ST S	1903	447
100 81ST ST S	1903	447
100 8TH AVE W	1403	469
100 8TH CT SW	2106	469
100 93RD ST N	2911	441
100 94TH ST N	2911	441
100 95TH ST N	2911	441
100 96TH ST N	2911	441
100 9TH ST S	BESSEMER_FD	487
100 ACTON AVE	HOMEWOOD_FD	469
100 ALABAMA AVE	BESSEMER_FD	487
100 ALASKA DR	HUEYTOWN_FD	492
100 ALDER AVE	1803	416
100 ALLIANCE RD	BIRMINGPORT_FD_1	497
100 ALPHA ST	HUEYTOWN_FD	492
100 ALPINE ST	2604	465
100 AMBER TRCE	TRUSS_201	447
100 ANDERSON CIR	TRUSS_401	444
